,Unnamed: 0,ISO,Province,Capital_x,Population p.a. (2020),Population Count (2020),Island Group,Region_x,Municipalities,Cities,Barangays,Area_km2,Area_mi2,Density (2020)_km2,Density (2020)_mi2,Founded_date,Founded_a,Founded_b,Founded_c,Article Link_x,Coordinates,Region_y,Founded,Capital_y,Largest City,Government,Area,Elevation,Population,Divisions,Time Zone,IDD Area Code,Spoken Languages,Website,Article Link_y,PSGC,Ref. Id
44,44,PH-LEY,Leyte,Tacloban,1.86,2028728,Visayas,VIII,40,3.0,1641,6515.05,2515.47,311.0,806.0,"('5', 'Apr', '1712')",5.0,Apr,1712,/wiki/Leyte_(province),"{'Latitude': '11°00′N', 'Longitude': '124°51′E'}",Eastern Visayas,1735,Tacloban,,"{'Governor': {'Name': 'Carlos Jericho L. Petilla ', 'Party': 'PDP–Laban'}, 'Vice Governor': {'Name': 'Leonardo M. Javier Jr.  ', 'Party': 'PDP–Laban'}, 'Legislature': 'Leyte Provincial Board'}","{'Total': 6313.332, 'Rank': 13, '': <td class=""infobox-data"">(excludes Tacloban City)</td>}","{'Body': 'Alto Peak', 'Peak': 1332.0}","{'Total': 1776847, 'Density': 280730.0}",{},UTC+8,+63 (0)53,PH-LEY,http://leyteprovince.gov.ph/,/wiki/Leyte_(province),803700000,p:803700000
45,45,PH-MDN,Maguindanao del Norte,Datu Odin Sinsuat,0.85,926037,Mindanao,BARMM,12,1.0,189,4752.47,1834.94,232.0,601.0,"('17', 'Sep', '2022')",17.0,Sep,2022,/wiki/Maguindanao_del_Norte,"{'Latitude': '07°08′N', 'Longitude': '124°16′E'}", Bangsamoro,,Datu Odin Sinsuat,Cotabato City,"{'Governor': 'DisputedAbdulraof A. Macacua[a]Ainee Sinsuat[b]', 'Vice Governor': 'Vacant[c] or Sharifudin Tucao Mastura[d]', 'Representative': 'Sittie Shahara I. Mastura'}",{'Total': 3988.822},"{'Body': None, 'Peak': None}",{},"{'Independent cities': 1, 'Component cities': 0, 'Municipalities': 12, 'Districts': 'Legislative districts of Maguindanao del Norte'}",UTC+8,,,,/wiki/Maguindanao_del_Norte,1908700000,p:1908700000
46,46,PH-MDS,Maguindanao del Sur,Buluan,0.68,741221,Mindanao,BARMM,24,,167,4973.48,1920.27,149.0,386.0,"('4', 'Nov', '1802')",4.0,Nov,1802,/wiki/Maguindanao_del_Sur,"{'Latitude': '06°55′N', 'Longitude': '124°34′E'}", Bangsamoro,,Buluan,,"{'Governor': 'Bai Mariam Sangki-Mangudadatu', 'Vice Governor': 'Datu Nathaniel S. Midtimbang', 'Representative': 'Mohamad P. Paglas Sr.'}",{'Total': 4973.482},"{'Body': None, 'Peak': None}",{},"{'Independent cities': 0, 'Component cities': 0, 'Municipalities': 24, 'Districts': 'Legislative districts of Maguindanao del Sur'}",UTC+8,,,,/wiki/Maguindanao_del_Sur,1908800000,p:1908800000
47,47,PH-MAD,Marinduque,Boac,0.22,239207,Luzon,Mimaropa,6,,218,952.58,367.79,251.0,650.0,"('21', 'Feb', '1920')",21.0,Feb,1920,/wiki/Marinduque,"{'Latitude': '13°24′N', 'Longitude': '121°58′E'}",Mimaropa,"May 1, 1901",Boac,,"{'Governor': {'Name': 'Presbitero J. Velasco Jr. ', 'Party': 'PFP'}, 'Vice Governor': {'Name': 'Adeline Marciano-Angeles ', 'Party': 'PFP'}, 'Legislature': 'Marinduque Provincial Board'}","{'Total': 952.582, 'Rank': 76}","{'Body': 'Mount Malindig', 'Peak': 1157.0}",{},"{'Independent cities': 0, 'Component cities': 0, 'Municipalities': 6, 'Barangays': 218, 'Districts': 'Legislative district of Marinduque'}",UTC+8,+63 (0)42,PH-MAD,www.marinduque.gov.ph,/wiki/Marinduque,1704000000,p:1704000000
48,48,PH-MAS,Masbate,Masbate City,0.83,908920,Luzon,V,20,1.0,550,4151.78,1603.01,219.0,567.0,"('18', 'Mar', '1901')",18.0,Mar,1901,/wiki/Masbate,"{'Latitude': '12°16′N', 'Longitude': '123°35′E'}",Bicol Region,"March 18, 1901",Masbate City,,"{'Governor': {'Name': 'Antonio T. Kho ', 'Party': 'PDP-Laban'}, 'Vice Governor': {'Name': 'Elisa T. Kho ', 'Party': 'PDP-Laban'}}","{'Total': 4151.782, 'Rank': 30}","{'Body': 'Conical Peak', 'Peak': 699.0}",{},"{'Independent cities': 0, 'Component cities': 1, 'Municipalities': 20, 'Barangays': 550, 'Districts': 'Legislative districts of Masbate'}",UTC+8,+63 (0)56,PH-MAS,masbate.gov.ph,/wiki/Masbate,504100000,p:504100000
49,49,PH-MSC,Misamis Occidental,Oroquieta,0.57,617333,Mindanao,X,14,3.0,490,2055.22,793.52,300.0,778.0,"('8', 'Nov', '1929')",8.0,Nov,1929,/wiki/Misamis_Occidental,"{'Latitude': '8°20′N', 'Longitude': '123°42′E'}",Northern Mindanao,"November 2, 1929",Oroquieta,Ozamiz City,"{'Type': 'Sangguniang Panlalawigan', 'Governor': {'Name': 'Atty. Henry S. Oaminal Sr. ', 'Party': 'NP'}, 'Vice Governor': {'Name': 'Rowena L. Gutierrez ', 'Party': 'PDPLBN'}, 'Legislature': 'Misamis Occidental Provincial Board'}","{'Total': 2006.632, 'Rank': 60}","{'Body': 'Mount Malindang', 'Peak': 2404.0}",{},"{'Independent cities': <td class=""infobox-data"">0</td>, 'Component cities': 3, 'Municipalities': 14, 'Barangays': 490, 'Districts': 'Legislative districts of Misamis Occidental'}",UTC+8,+63 (0)88,PH-MSC,misocc.gov.ph,/wiki/Misamis_Occidental,1004200000,p:1004200000
50,50,PH-MSR,Misamis Oriental,Cagayan de Oro,1.55,1685302,Mindanao,X,23,3.0,504,3544.32,1368.47,475.0,1232.0,"('15', 'May', '1901')",15.0,May,1901,/wiki/Misamis_Oriental,"{'Latitude': '8°45′N', 'Longitude': '125°00′E'}",Northern Mindanao,1939,Cagayan de Oro,,"{'Type': 'Sangguniang Panlalawigan', 'Governor': {'Name': 'Peter M. Unabia ', 'Party': 'Lakas'}, 'Vice Governor': {'Name': 'Jeremy Jonahmar G. Pelaez ', 'Party': 'Padayon Pilipino'}, 'Legislature': 'Misamis Oriental Provincial Board'}","{'Total': 3131.522, 'Rank': None, '': <td class=""infobox-data"">(excluding Cagayan de Oro)</td>}","{'Body': 'Mount Balatukan', 'Peak': 2560.0}","{'Total': 956900, 'Density': 310790.0}","{'Independent cities': 1, 'Component cities': 2, 'Municipalities': 23, 'Barangays': 424504, 'Districts': 'Legislative districts of Misamis Oriental'}",UTC+8,+63 (0)88,PH-MSR,www.misamisoriental.gov.ph,/wiki/Misamis_Oriental,1004300000,p:1004300000
51,51,PH-MOU,Mountain Province,Bontoc,0.15,158200,Luzon,CAR,10,,144,2157.38,832.97,73.0,190.0,"(None, None, '1846')",,,1846,/wiki/Mountain_Province,"{'Latitude': '17°05′N', 'Longitude': '121°10′E'}",Cordillera Administrative Region,1908,Bontoc,,"{'Type': 'Sangguniang Panlalawigan', 'Governor': {'Name': 'Bonifacio C. Lacwasan Jr. ', 'Party': 'PDP-Laban'}, 'Vice Governor': {'Name': 'Francis O. Taulif ', 'Party': 'PDP-Laban'}, 'Representative': {'Name': 'Maximo Y. Dalug Jr. ', 'Party': 'NP'}, 'Legislature': 'Mountain Province Provincial Board'}","{'Total': 2157.382, 'Rank': 58}","{'Body': 'Mount Amuyao', 'Peak': 2702.0}",{},"{'Independent cities': 0, 'Component cities': 0, 'Municipalities': 10, 'Barangays': 144, 'Districts': 'Legislative district of Mountain Province'}",UTC+8,+63 (0)74,PH-MOU,mountainprovince.gov.ph,/wiki/Mountain_Province,1404400000,p:1404400000
52,52,PH-NEC,Negros Occidental,Bacolod,2.96,3223955,Visayas,NIR,19,13.0,662,7965.21,3075.38,405.0,1048.0,"('15', 'Jul', '1416')",15.0,Jul,1416,/wiki/Negros_Occidental,"{'Latitude': '10°25′N', 'Longitude': '123°00′E'}",Negros Island Region,"January 1, 1890",Bacolod,,"{'Type': 'Sangguniang Panlalawigan', 'Governor': {'Name': 'Eugenio Jose V. Lacson ', 'Party': 'NPC'}, 'Vice Governor': {'Name': 'Jeffrey P. Ferrer ', 'Party': 'NUP'}, 'Legislature': 'Negros Occidental Provincial Board'}","{'Total': 7802.542, 'Rank': 8, '': <td class=""infobox-data"">(excluding Bacolod)</td>}","{'Body': 'Mount Kanlaon', 'Peak': 2465.0}","{'Total': 2623172, 'Density': 340870.0}",{},UTC+8,+63 (0)34,PH-NEC,www.negros-occ.gov.ph,/wiki/Negros_Occidental,604500000,p:604500000
53,53,PH-NER,Negros Oriental,Dumaguete,1.31,1432990,Visayas,NIR,20,6.0,557,5385.53,2079.36,266.0,689.0,"('1', 'Jan', '1890')",1.0,Jan,1890,/wiki/Negros_Oriental,"{'Latitude': '10°03′N', 'Longitude': '123°07′E'}",Negros Island Region,"January 1, 1890",Dumaguete,,"{'Type': 'Sangguniang Panlalawigan', 'Governor': {'Name': 'Manuel ""Chaco"" L. Sagarbarria ', 'Party': 'PFP'}, 'Vice Governor': {'Name': 'Jaime L. Reyes ', 'Party': 'LP'}, 'Legislature': 'Negros Oriental Provincial Board'}","{'Total': 5385.532, 'Rank': 17}","{'Body': 'Mount Kanlaon', 'Peak': 2465.0}",{},"{'Independent cities': <td class=""infobox-data"">0</td>, 'Component cities': 6, 'Municipalities': 19, 'Barangays': 557, 'Districts': 'Legislative districts of Negros Oriental'}",UTC+8,+63 (0)35,PH-NER,www.negor.gov.ph,/wiki/Negros_Oriental,704600000,p:704600000
