,Unnamed: 0,Region,PSGC,Island Group_x,Regional Center,Region (Abbr),No. of LGUs,LGUs,Area_km2,Area_mi2,Population Count (2020),Population p.a. (2020),Density (2020)_km2,Density (2020)_mi2,Article Link_x,Coordinates,Country,Island Group_y,Area,Highest Elevation,Population,Time Zone,ISO 3166 Code,Provinces,Independent Cities,Component Cities,Muncipalities,Barangays,Congressional Districts,Extract Languages,GDP,Growth Rate,HDI,HDI Rank,Website,Article Link_y,Ref. Id
0,0,National Capital Region,13,Luzon,['Manila'],NCR,17,"['Caloocan', 'Las Piñas', 'Makati', 'Malabon', 'Mandaluyong', 'Manila', 'Marikina', 'Muntinlupa', 'Navotas', 'Parañaque', 'Pasay', 'Pasig', 'Pateros', 'Quezon City', 'San Juan', 'Taguig', 'Valenzuela', '']",619.57,239.22,13484462.0,12.41,20784.0,53831.0,/wiki/Metro_Manila,"{'Latitude': '14°35′N', 'Longitude': '121°00′E'}",Philippines,Luzon,{'Region': '636.00\xa0km2 (245.56\xa0sq\xa0mi)'},"{'Body': None, 'Peak': None}","{'Region': '13,484,462', 'Density': 21202.0, 'Metro[6]': '26,700,000'}",UTC+8 (PST),PH-00,,"{'Independent Cities (Count)': None, 'Independent Cities': None}","{'Component Cities (Count)': None, 'Component Cities': None}",,,,,,"{'Trend': None, 'Percentage': None}","{'Trend': 1, 'Percentage': ' 0.85'}","{'Rank': None, 'Year': '2019'}",mmda.gov.ph ,/wiki/Metro_Manila,r:1300000000
1,1,Cordillera Administrative Region,14,Luzon,['Baguio'],CAR,7,"['Abra', 'Apayao', 'Baguio', 'Benguet', 'Ifugao', 'Kalinga', 'Mountain Province', '']",19422.03,7498.89,1791121.0,1.65,89.0,230.0,/wiki/Cordillera_Administrative_Region,"{'Latitude': '17°10′N', 'Longitude': '121°10′E'}",Philippines,Luzon,{'Total': 19422.03},"{'Body': 'Mount Pulag', 'Peak': '2,928\xa0m'}","{'Total': 1797660, 'Estimate\xa0(2020)': '1,807,758[1]', 'Density': 93.0}",UTC+8 (PST),PH-15,"{'Provinces (Count)': 6, 'Provinces': [' Abra', ' Apayao', ' Benguet', ' Ifugao', ' Kalinga', ' Mountain Province']}","{'Independent Cities (Count)': 1, 'Independent Cities': [' Baguio']}","{'Component Cities (Count)': 1, 'Component Cities': [' Tabuk']}",75.0,1178.0,1178.0,,410560000000.0,"{'Trend': 1, 'Percentage': '6.9'}","{'Trend': 1, 'Percentage': ' 0.777'}","{'Rank': '3', 'Year': '2019'}",,/wiki/Cordillera_Administrative_Region,r:1400000000
2,2,Ilocos Region,1,Luzon,['San Fernando'],Region I,5,"['Dagupan', 'Ilocos Norte', 'Ilocos Sur', 'La Union', 'Pangasinan', '']",13012.6,5024.19,5292297.0,4.87,386.0,1000.0,/wiki/Ilocos_Region,"{'Latitude': '16°37′N', 'Longitude': '120°19′E'}",Philippines,Luzon,{'Total': 13013.6},"{'Body': 'Mount Sicapoo', 'Peak': '2,361\xa0m'}","{'Total': 5301139, 'Estimate\xa0(2020)': '5,220,807[1]', 'Density': 410.0}",UTC+8 (PST),PH-01,"{'Provinces (Count)': 4, 'Provinces': [' Ilocos Norte', ' Ilocos Sur', ' La Union', ' Pangasinan']}","{'Independent Cities (Count)': 1, 'Independent Cities': [' Dagupan']}","{'Component Cities (Count)': 8, 'Component Cities': [' Alaminos', ' Batac', ' Candon', ' Laoag', ' San Carlos', ' San Fernando', ' Urdaneta', ' Vigan']}",116.0,3267.0,3267.0,,814290000000.0,"{'Trend': 1, 'Percentage': '7.1'}","{'Trend': 1, 'Percentage': ' 0.743'}","{'Rank': '6', 'Year': '2019'}",,/wiki/Ilocos_Region,r:100000000
3,3,Cagayan Valley,2,Luzon,['Tuguegarao'],Region II,6,"['Batanes', 'Cagayan', 'Isabela', 'Nueva Vizcaya', 'Quirino', 'Santiago', '']",28228.83,10899.21,3679748.0,3.39,122.0,317.0,/wiki/Cagayan_Valley,"{'Latitude': None, 'Longitude': None}",Philippines,Luzon,{'Total': 28228.83},"{'Body': 'Mount Pulag', 'Peak': '2,928\xa0m'}","{'Total': 3685744, 'Estimate\xa0(2020)': '3,657,741[1]', 'Density': 130.0}",UTC+8 (PST),PH-02,"{'Provinces (Count)': 5, 'Provinces': [' Batanes', ' Cagayan', ' Isabela', ' Nueva Vizcaya', ' Quirino']}","{'Independent Cities (Count)': 1, 'Independent Cities': [' Santiago']}","{'Component Cities (Count)': 3, 'Component Cities': [' Cauayan', ' Ilagan', ' Tuguegarao']}",89.0,2311.0,2311.0,,510830000000.0,"{'Trend': 1, 'Percentage': '6.2'}","{'Trend': 1, 'Percentage': ' 0.709'}","{'Rank': '7', 'Year': '2019'}",,/wiki/Cagayan_Valley,r:200000000
4,4,Central Luzon,3,Luzon,['San Fernando'],Region III,9,"['Angeles City', 'Aurora', 'Bataan', 'Bulacan', 'Nueva Ecija', 'Olongapo', 'Pampanga', 'Tarlac', 'Zambales', '']",22014.63,8499.9,12387811.0,11.4,510.0,1320.0,/wiki/Central_Luzon,"{'Latitude': '15°28′N', 'Longitude': '120°45′E'}",Philippines,Luzon,{'Total': 22014.63},"{'Body': 'Mount Tapulao', 'Peak': '2,037\xa0m'}","{'Total': 12422172, 'Density': 560.0}",UTC+8 (PST),PH-03,"{'Provinces (Count)': 7, 'Provinces': [' Aurora', ' Bataan', ' Bulacan', ' Nueva Ecija', ' Pampanga', ' Tarlac', ' Zambales']}","{'Independent Cities (Count)': 2, 'Independent Cities': [' Angeles', ' Olongapo']}","{'Component Cities (Count)': 13, 'Component Cities': [' Balanga', ' Baliwag', ' Cabanatuan', ' Gapan', ' Mabalacat', ' Malolos', ' Meycauayan', ' Muñoz', ' Palayan', ' San Fernando', ' San Jose', ' San Jose del Monte', ' Tarlac City']}",115.0,3102.0,3102.0,,2650000000000.0,"{'Trend': 1, 'Percentage': '6.1'}","{'Trend': 1, 'Percentage': ' 0.765'}","{'Rank': '4', 'Year': '2019'}",,/wiki/Central_Luzon,r:300000000
5,5,Calabarzon,4,Luzon,['Calamba'],Region IV-A,6,"['Batangas', 'Cavite', 'Laguna', 'Lucena', 'Quezon', 'Rizal', '']",16873.31,6514.82,16139770.0,14.85,854.0,2213.0,/wiki/Calabarzon,"{'Latitude': '14°00′N', 'Longitude': '121°30′E'}",Philippines,Luzon,{'Total': 16873.31},"{'Body': 'Mount Banahaw', 'Peak': '2,170\xa0m'}","{'Total': 16195042, 'Density': 960.0}",UTC+8 (PST),PH-40,"{'Provinces (Count)': 5, 'Provinces': [' Batangas', ' Cavite', ' Laguna', ' Quezon', ' Rizal']}","{'Independent Cities (Count)': 1, 'Independent Cities': [' Lucena']}","{'Component Cities (Count)': 21, 'Component Cities': [' Antipolo', ' Bacoor', ' Batangas City', ' Biñan', ' Cabuyao', ' Calaca', ' Calamba', ' Carmona', ' Cavite City', ' Dasmariñas', ' General Trias', ' Imus', ' Lipa', ' San Pablo', ' San Pedro', ' Santa Rosa', ' Santo Tomas', ' Tagaytay', ' Tanauan', ' Tayabas', ' Trece Martires']}",120.0,4019.0,4019.0,,3440000000000.0,"{'Trend': 1, 'Percentage': '5.2'}","{'Trend': 1, 'Percentage': ' 0.795'}","{'Rank': '2', 'Year': '2019'}",,/wiki/Calabarzon,r:400000000
6,6,Southwestern Tagalog Region,17,Luzon,['Calapan'],Mimaropa,6,"['Marinduque', 'Occidental Mindoro', 'Oriental Mindoro', 'Palawan', 'Puerto Princesa', 'Romblon', '']",29620.9,11436.69,3212287.0,2.96,100.0,259.0,/wiki/Mimaropa,"{'Latitude': '10°40′N', 'Longitude': '119°30′E'}",Philippines,Luzon,{'Total': 29620.9},"{'Body': 'Mount Halcon', 'Peak': '2,586\xa0m'}","{'Total': 3228558, 'Density': 110.0}",UTC+8 (PST),PH-41,"{'Provinces (Count)': 5, 'Provinces': [' Marinduque', ' Occidental Mindoro', ' Oriental Mindoro', ' Palawan', ' Romblon']}","{'Independent Cities (Count)': 1, 'Independent Cities': [' Puerto Princesa']}","{'Component Cities (Count)': 1, 'Component Cities': [' Calapan']}",71.0,1460.0,1460.0,,472000000000.0,"{'Trend': 1, 'Percentage': '4.7'}","{'Trend': 1, 'Percentage': ' 0.673'}","{'Rank': '15', 'Year': '2019'}",,/wiki/Mimaropa,r:1700000000
7,7,Bicol Region,5,Luzon,['Legazpi'],Region V,7,"['Albay', 'Camarines Norte', 'Camarines Sur', 'Catanduanes', 'Masbate', 'Naga', 'Sorsogon', '']",18155.82,7010.0,6067290.0,5.58,319.0,827.0,/wiki/Bicol_Region,"{'Latitude': '13°30′N', 'Longitude': '123°20′E'}",Philippines,Luzon,{'Total': 18155.82},"{'Body': 'Mayon Volcano', 'Peak': '2,463\xa0m'}","{'Total': 6082165, 'Density': 330.0}",UTC+8 (PST),PH-05,"{'Provinces (Count)': 6, 'Provinces': [' Albay', ' Camarines Norte', ' Camarines Sur', ' Catanduanes', ' Masbate', ' Sorsogon']}","{'Independent Cities (Count)': 1, 'Independent Cities': [' Naga']}","{'Component Cities (Count)': 6, 'Component Cities': [' Iriga', ' Legazpi', ' Ligao', ' Masbate City', ' Sorsogon City', ' Tabaco']}",107.0,3471.0,3471.0,"{'Bikol languages': ['Central Bikol', 'Albayanon', 'Rinconada', 'Northern Catanduanes', 'Southern Catanduanes'], 'Visayan languages': ['Masbateño', 'Northern Sorsogon', 'Waray Sorsogon'], 'Tagalog': {}, 'English': {}}",701720000000.0,"{'Trend': 1, 'Percentage': '4.58'}","{'Trend': 1, 'Percentage': ' 0.687'}","{'Rank': '13', 'Year': '2019'}",dilgbicol.org,/wiki/Bicol_Region,r:500000000
8,8,Western Visayas,6,Visayas,['Iloilo City'],Region VI,6,"['Aklan', 'Antique', 'Capiz', 'Guimaras', 'Iloilo', 'Iloilo City', '']",12750.63,4923.05,4730771.0,4.35,371.0,961.0,/wiki/Western_Visayas,"{'Latitude': '11°08′N', 'Longitude': '122°32′E'}",Philippines,Visayas,{'Total': 12750.63},"{'Body': 'Mount Madja-as', 'Peak': '2,117\xa0m'}","{'Total': 4730771, 'Density': 370.0}",UTC+8 (PST),PH-06,"{'Provinces (Count)': 5, 'Provinces': [' Aklan', ' Antique', ' Capiz', ' Guimaras', ' Iloilo']}","{'Independent Cities (Count)': 1, 'Independent Cities': [' Iloilo City']}","{'Component Cities (Count)': 2, 'Component Cities': [' Passi', ' Roxas']}",98.0,3209.0,3209.0,,620790000000.0,"{'Trend': None, 'Percentage': None}","{'Trend': 1, 'Percentage': ' 0.761'}","{'Rank': '5', 'Year': '2019'}",,/wiki/Western_Visayas,r:600000000
9,9,Negros Island Region,18,Visayas,"['Bacolod', 'Dumaguete ']",NIR,4,"['Bacolod', 'Negros Occidental', 'Negros Oriental', 'Siquijor', '']",13646.5,5268.9,4104000.0,3.78,301.0,779.0,/wiki/Negros_Island_Region,"{'Latitude': None, 'Longitude': None}",Philippines,,{'Total': 13525.56},"{'Body': 'Mount Kanlaon', 'Peak': '2,465\xa0m'}","{'Total': 4760340, 'Density': 350.0}",UTC+8 (PST),,,"{'Independent Cities (Count)': 1, 'Independent Cities': [' Bacolod']}","{'Component Cities (Count)': 18, 'Component Cities': [' Bago', ' Bais', ' Bayawan', ' Cadiz', ' Canlaon', ' Dumaguete', ' Escalante', ' Guihulngan', ' Himamaylan', ' Kabankalan', ' La Carlota', ' Sagay', ' San Carlos', ' Silay', ' Sipalay', ' Talisay', ' Tanjay', ' Victorias']}",44.0,1353.0,1353.0,,557680000000.0,"{'Trend': None, 'Percentage': None}",,"{'Rank': None, 'Year': None}",,/wiki/Negros_Island_Region,r:1800000000
